Name,Gender,World Ranking
Gannon Buhr,Male,1
Ricky Wysocki,Male,2
Calvin Heimburg,Male,3
Isaac Robinson,Male,4
Paul McBeth,Male,5
Kyle Klein,Male,6
Matthew Orum,Male,7
Anthony Barela,Male,8
Niklas Anttila,Male,9
Chris Dickerson,Male,10
Simon Lizotte,Male,11
Ezra Robinson,Male,12
Eagle McMahon,Male,13
Joel Freeman,Male,14
Cole Redalen,Male,15
Andrew Presnell,Male,16
Aaron Gossage,Male,17
James Proctor,Male,18
Adam Hammes,Male,25
Brodie Smith,Male,70
Paul Ulibarri,Male,70
Brad Hammock,Male,100
Rickys Manager Fernando,Male,100
Jefferson,Male,100
Kevin Barnett,Male,100
Joshua Madsen,Male,100
Andrew Panza,Male,100
Kristin Tattar,Female,1
Evelina Salonen,Female,2
Ohn Scoggins,Female,3
Missy Gannon,Female,4
Holyn Handley,Female,5
Silva Saarinen,Female,7
Ella Hansen,Female,8
Hailey King,Female,9
Heidi Laine,Female,10
Paige Pierce,Female,11
Kat Mertsch,Female,12
Natalie Ryan,Female,12
Henna Blomroos,Female,13
Valerie Mandujano,Female,13
Catrina Allen,Female,14
Jessica Weese,Female,16
Anniken Steen,Female,17
Sarah Hokom,Female,18
Lisa Fajkus,Female,19
Kona Star Montgomery,Female,23
